epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,220.154,1.40418,1.62823,1.27239,0,0,0,0,0,0,0,0.00332741,0.00332741,0.0700533
2,423.749,1.32896,1.05261,1.18003,0,0,0,0,0,0,0,0.00662778,0.00662778,0.0400203
3,625.262,1.32789,1.01575,1.15075,0,0,0,0,0,0,0,0.00989514,0.00989514,0.00995434
4,825.986,1.32136,0.97813,1.14253,0,0,0,0,0,0,0,0.0098515,0.0098515,0.0098515
5,1028.57,1.28391,0.90192,1.12003,0,0,0,0,0,0,0,0.009802,0.009802,0.009802
6,1230.39,1.26064,0.85168,1.10668,0,0,0,0,0,0,0,0.0097525,0.0097525,0.0097525
7,1431.36,1.24699,0.82691,1.09904,0,0,0,0,0,0,0,0.009703,0.009703,0.009703
8,1632.61,1.23295,0.80128,1.09565,0,0,0,0,0,0,0,0.0096535,0.0096535,0.0096535
9,1835.74,1.22221,0.78384,1.08918,0,0,0,0,0,0,0,0.009604,0.009604,0.009604
10,2036.54,1.21226,0.76621,1.08498,0,0,0,0,0,0,0,0.0095545,0.0095545,0.0095545
11,2237.15,1.20318,0.7544,1.07903,0,0,0,0,0,0,0,0.009505,0.009505,0.009505
12,2437.69,1.19433,0.74015,1.07222,0,0,0,0,0,0,0,0.0094555,0.0094555,0.0094555
13,2638.52,1.19295,0.73375,1.07525,0,0,0,0,0,0,0,0.009406,0.009406,0.009406
14,2839.71,1.18452,0.72561,1.06921,0,0,0,0,0,0,0,0.0093565,0.0093565,0.0093565
15,3040.37,1.17884,0.71827,1.06598,0,0,0,0,0,0,0,0.009307,0.009307,0.009307
16,3241.42,1.17271,0.70898,1.0632,0,0,0,0,0,0,0,0.0092575,0.0092575,0.0092575
17,3442.58,1.16958,0.70454,1.06422,0,0,0,0,0,0,0,0.009208,0.009208,0.009208
18,3641.61,1.16599,0.6973,1.06254,0,0,0,0,0,0,0,0.0091585,0.0091585,0.0091585
19,3842.8,1.16114,0.69029,1.05908,0,0,0,0,0,0,0,0.009109,0.009109,0.009109
20,4044.02,1.15745,0.6846,1.05714,0,0,0,0,0,0,0,0.0090595,0.0090595,0.0090595
21,4243.86,1.1542,0.68258,1.05666,0,0,0,0,0,0,0,0.00901,0.00901,0.00901
22,4444.73,1.1499,0.67845,1.05207,0,0,0,0,0,0,0,0.0089605,0.0089605,0.0089605
23,4646.26,1.14449,0.67035,1.05125,0,0,0,0,0,0,0,0.008911,0.008911,0.008911
24,4847.31,1.14313,0.66925,1.05146,0,0,0,0,0,0,0,0.0088615,0.0088615,0.0088615
25,5046.22,1.14281,0.66763,1.04866,0,0,0,0,0,0,0,0.008812,0.008812,0.008812
26,5246.83,1.13792,0.65987,1.04906,0,0,0,0,0,0,0,0.0087625,0.0087625,0.0087625
27,5447.84,1.13199,0.65688,1.04561,0,0,0,0,0,0,0,0.008713,0.008713,0.008713
28,5648.07,1.1333,0.65654,1.04868,0,0,0,0,0,0,0,0.0086635,0.0086635,0.0086635
29,5849.95,1.13234,0.65433,1.0452,0,0,0,0,0,0,0,0.008614,0.008614,0.008614
